,decam_g,decam_r,pmra_unc_present,pmdec_unc_present,pmra_unc_10yr,pmdec_unc_10yr,vr_unc
479,15.244138967622352,14.223660814575254,0.0339861676196351,0.0293666885257041,5.0979251429452646,4.4050032788556175,1.9795733616612488
89,15.44798012708486,14.509058799966416,0.0373801922694624,0.03229938943672,5.607028840419374,4.844908415508002,1.9804602301958365
298,15.635646651768583,14.83196000051048,0.04085595372427,0.0353027172957284,6.128393058640504,5.29540759435927,1.9817370490206063
396,15.820108957727976,15.07432602958587,0.0446428503234092,0.0385748900852759,6.696427548511379,5.786233512791386,1.983122716538973
431,16.180002332337352,15.443139676236145,0.0532777702308402,0.0460361315586871,7.991665534626033,6.905419733803077,1.9863967296990213
435,16.296750767791504,15.673528713771065,0.0564916610627636,0.0488131828600579,8.473749159414545,7.321977429008686,1.9886568376391576
127,16.535886766954043,15.966807882210976,0.0638254910205204,0.0551501815614206,9.57382365307807,8.27252723421309,1.993017944788661
213,16.829223725069618,16.20511303974306,0.0744524551946487,0.0643327040031431,11.167868279197316,9.649905600471463,1.998747335428956
87,16.899541974009942,16.28459802965783,0.0773126909593304,0.0668041698580622,11.596903643899571,10.020625478709338,2.0007657635994693
315,17.0734170421125,16.48047991560554,0.084986272095974,0.0734347399664242,12.747940814396111,11.015210994963631,2.00658408089314
60,17.188988306430986,16.85329638324877,0.0906109577773417,0.0782949052639166,13.591643666601254,11.744235789587492,2.0174682024820707
6,17.19184626308562,16.859172081398754,0.090755809479036,0.0784200683847981,13.613371421855408,11.763010257719722,2.0176887463873587
199,17.200499851276223,16.622165593713298,0.091196162690288,0.078800567761511,13.679424403543209,11.820085164226654,2.011683195064772
91,17.24775015951429,16.67462715521774,0.0936479891937943,0.0809191362936669,14.047198379069153,12.137870444050042,2.013789997917652
190,17.25404106392754,16.986316530863732,0.0939805808569483,0.0812065213229941,14.097087128542244,12.180978198449123,2.0227744346055263
288,17.267851330518436,17.017396202092208,0.0947158845294498,0.0818418808070003,14.207382679417476,12.27628212105005,2.024079841815736
203,17.270397928562385,17.022732976728648,0.0948522551387391,0.0819597156053183,14.227838270810876,12.293957340797748,2.024311692956233
263,17.29431420733592,17.073426769973448,0.0961449878569619,0.0830767370802875,14.421748178544297,12.461510562043127,2.026565230049707
194,17.307090057149278,17.110444810812186,0.0968445542612451,0.0836812167888428,14.526683139186767,12.552182518326433,2.028162962388403
149,17.31458195220604,17.191604193863913,0.0972577409304029,0.0840382421631637,14.588661139560443,12.605736324474558,2.031310416008
207,17.314670313626433,17.192943655103917,0.097262627270764,0.0840424643407572,14.589394090614606,12.60636965111359,2.0313630321108445
327,17.315159990320925,17.200010089813446,0.0972897116875709,0.0840658673805224,14.593456753135634,12.609880107078364,2.031642074493892
